批量回测 v2 结果
运行时间: 2026-06-20 17:55:59
股票数: 200 | 策略数: 3 | 总回测: 600
区间: 2024-01-01 ~ 2026-06-01

      代码           策略       收益     夏普     胜率       回撤   交易       基准       超额
  301586         趋势跟踪   +4.88% +0.34  33.3%   -8.62%    3  -38.93%  +43.81%
  603086         均线金叉   +4.86% +0.21  30.0%  -11.15%   10   +6.68%   -1.82%
  688011         趋势跟踪   +4.67% +0.22  33.3%  -11.98%    9 +131.69% -127.02%
  603280         均线金叉   +4.63% +0.23  25.0%  -11.85%    8   +8.17%   -3.54%
  000633       七维评分穿越   +4.56% +0.20  45.5%  -21.90%   22  -19.46%  +24.02%
  603239         趋势跟踪   +4.48% +0.19  33.3%  -21.18%    9  +29.24%  -24.76%
  301036         趋势跟踪   +4.47% +0.22  33.3%  -10.90%    6  +10.34%   -5.87%
  300632       七维评分穿越   +4.46% +0.49 100.0%   -4.71%    1 +111.94% -107.48%
  601700         趋势跟踪   +4.44% +0.20  50.0%  -14.32%    4   +6.90%   -2.46%
  002246         均线金叉   +4.43% +0.23  66.7%  -12.15%    3 +147.08% -142.65%
  600493       七维评分穿越   +4.30% +0.19  44.4%  -23.29%   18   -3.43%   +7.73%
  688222         均线金叉   +4.21% +0.21  42.9%  -11.60%    7  +80.92%  -76.71%
  002537         均线金叉   +4.17% +0.20  37.5%  -17.57%    8   -3.72%   +7.89%
  301586         均线金叉   +4.07% +0.27  16.7%   -9.59%    6  -38.93%  +43.00%
  600256         趋势跟踪   +4.02% +0.20  50.0%  -17.31%    2   -9.71%  +13.73%
  002663         均线金叉   +3.97% +0.28  50.0%   -6.89%    2   +7.10%   -3.13%
  600358         趋势跟踪   +3.94% +0.19  50.0%  -17.59%    4  +11.34%   -7.40%
  688077         均线金叉   +3.94% +0.19  36.4%  -16.04%   11  +14.80%  -10.86%
  688615         趋势跟踪   +3.91% +0.42  50.0%   -6.98%    2  +18.40%  -14.49%
  301299         趋势跟踪   +3.79% +0.19  25.0%   -8.55%    4   -7.48%  +11.27%
  003037       七维评分穿越   +3.67% +0.18  37.5%  -24.19%   16  -33.79%  +37.46%
  000807         均线金叉   +3.52% +0.27  33.3%   -9.73%    3 +134.22% -130.70%
  301206       七维评分穿越   +3.41% +0.17  50.0%  -12.80%    8  -11.46%  +14.87%
  601718         均线金叉   +3.31% +0.18  28.6%  -13.42%    7  -26.49%  +29.80%
  300783         趋势跟踪   +3.28% +0.20  25.0%  -11.39%    4   +3.25%   +0.03%
  600269       七维评分穿越   +3.22% +0.19  20.0%  -14.20%    5   +5.47%   -2.25%
  600720         均线金叉   +3.17% +0.18  42.9%  -12.04%    7  -37.72%  +40.89%
  688562         均线金叉   +3.06% +0.18  25.0%  -16.85%    4  -26.77%  +29.83%
  301239         趋势跟踪   +2.99% +0.18  40.0%  -15.29%    5  -51.92%  +54.91%
  002115         趋势跟踪   +2.90% +0.16  50.0%  -14.23%    4  +68.36%  -65.46%
  603004         均线金叉   +2.68% +0.16  28.6%  -13.26%    7  -46.10%  +48.78%
  003035       七维评分穿越   +2.62% +0.15  57.1%  -18.45%    7  +41.58%  -38.96%
  603516         均线金叉   +2.54% +0.21  50.0%   -5.03%    4 +386.85% -384.31%
  603838       七维评分穿越   +2.46% +0.21  60.0%   -6.35%    5  +26.60%  -24.14%
  300167         均线金叉   +2.42% +0.16  33.3%   -9.92%    6  +77.92%  -75.50%
  603180       七维评分穿越   +2.20% +0.14  40.0%  -15.86%   10  -28.96%  +31.16%
  300131       七维评分穿越   +1.84% +0.13  75.0%  -14.62%    4 +175.81% -173.97%
  301586       七维评分穿越   +1.82% +0.15  50.0%  -12.12%    6  -38.93%  +40.75%
  000537       七维评分穿越   +1.68% +0.12  50.0%  -17.81%    6  +11.73%  -10.05%
  600575       七维评分穿越   +1.65% +0.13  50.0%   -9.95%    2  +69.77%  -68.12%
  002889         趋势跟踪   +1.47% +0.11  33.3%  -10.71%    3  -52.21%  +53.68%
  301592         均线金叉   +1.38% +0.14  40.0%  -11.01%    5  -31.00%  +32.38%
  300891         均线金叉   +1.38% +0.11  44.4%  -20.04%    9  -25.90%  +27.28%
  301507         趋势跟踪   +1.37% +0.11  25.0%  -13.71%    4  -19.92%  +21.29%
  300579       七维评分穿越   +1.37% +0.12  41.2%  -19.99%   17   -6.98%   +8.35%
  600493         趋势跟踪   +1.18% +0.11  33.3%  -19.81%    6   -3.43%   +4.61%
  000807       七维评分穿越   +1.17% +0.10  50.0%  -10.31%    4 +134.22% -133.05%
  603533         趋势跟踪   +0.99% +0.10  42.9%  -12.50%    7  +33.10%  -32.11%
  600269         均线金叉   +0.96% +0.09  20.0%   -6.73%    5   +5.47%   -4.51%
  600400       七维评分穿越   +0.94% +0.11  50.0%  -22.14%   12   +2.86%   -1.92%
  603004       七维评分穿越   +0.92% +0.11 100.0%   -7.08%    1  -46.10%  +47.02%
  300404         趋势跟踪   +0.91% +0.10  25.0%  -24.91%    4  +11.21%  -10.30%
  003035         均线金叉   +0.81% +0.08  25.0%  -14.29%    4  +41.58%  -40.77%
  300572       七维评分穿越   +0.60% +0.07  33.3%   -6.55%    3  +64.79%  -64.19%
  688729         均线金叉   +0.43% +0.10 100.0%   -6.09%    1   +4.30%   -3.87%
  000505       七维评分穿越   +0.41% +0.10  45.5%  -17.45%   11  -11.52%  +11.93%
  688077       七维评分穿越   +0.34% +0.06 100.0%   -2.77%    1  +14.80%  -14.46%
  603383         均线金叉   +0.31% +0.07  28.6%  -16.11%    7  -33.72%  +34.03%
  000504         趋势跟踪   +0.21% +0.08  40.0%  -14.91%    5  -18.98%  +19.19%
  001323         均线金叉   +0.09% +0.05  20.0%   -9.17%    5  -27.98%  +28.07%
  300494         趋势跟踪   +0.08% +0.05  33.3%  -15.16%    3  -38.75%  +38.83%
  601177         均线金叉   +0.01% +0.06  22.2%  -18.76%    9  +68.88%  -68.87%
  301282       七维评分穿越   +0.00% +0.00   0.0%   +0.00%    0  +12.64%  -12.64%
  002115       七维评分穿越   +0.00% +0.00   0.0%   +0.00%    0  +68.36%  -68.36%
  688729         趋势跟踪   +0.00% +0.00   0.0%   +0.00%    0   +4.30%   -4.30%
  688486       七维评分穿越   +0.00% +0.00   0.0%   +0.00%    0  -34.06%  +34.06%
  600057       七维评分穿越   +0.00% +0.00   0.0%   +0.00%    0   -3.40%   +3.40%
  600720       七维评分穿越   +0.00% +0.01   0.0%   -4.99%    1  -37.72%  +37.72%
  688356       七维评分穿越   +0.00% +0.00   0.0%   +0.00%    0  -26.76%  +26.76%
  600129       七维评分穿越   +0.00% +0.00   0.0%   +0.00%    0  -66.52%  +66.52%
  002009       七维评分穿越   +0.00% +0.00   0.0%   +0.00%    0  +50.02%  -50.02%
  603125       七维评分穿越   +0.00% +0.00   0.0%   +0.00%    0  -18.22%  +18.22%
  603139       七维评分穿越   +0.00% +0.00   0.0%   +0.00%    0  +98.90%  -98.90%
  300488       七维评分穿越   +0.00% +0.00   0.0%   +0.00%    0  +30.04%  -30.04%
  601319       七维评分穿越   +0.00% +0.00   0.0%   +0.00%    0  +43.68%  -43.68%
  601319         均线金叉   +0.00% +0.00   0.0%   +0.00%    0  +43.68%  -43.68%
  603323       七维评分穿越   +0.00% +0.00   0.0%   +0.00%    0  +14.99%  -14.99%
  002030         均线金叉   -0.04% +0.05  50.0%  -17.22%    2  -30.70%  +30.66%
  301037         均线金叉   -0.19% +0.02  25.0%  -10.50%    4  -23.09%  +22.90%
  688581         趋势跟踪   -0.25% +0.07  40.0%  -19.26%    5  -53.94%  +53.69%
  600130       七维评分穿越   -0.30% +0.05  40.0%  -15.26%   10   +5.22%   -5.52%
  600113         均线金叉   -0.44% +0.03  16.7%  -10.53%    6 +362.47% -362.91%
  605118       七维评分穿越   -0.60% +0.05  43.8%  -15.47%   16  +34.82%  -35.42%
  301507       七维评分穿越   -0.61% +0.11  33.3%  -23.80%   15  -19.92%  +19.31%
  300723       七维评分穿越   -0.62% +0.10  39.4%  -28.69%   33  +41.48%  -42.10%
  688280       七维评分穿越   -0.65% -0.03  50.0%   -8.44%    4  -23.14%  +22.49%
  300943         趋势跟踪   -0.73% +0.07  40.0%  -23.67%    5 +172.36% -173.09%
  300155         均线金叉   -0.75% +0.04  25.0%  -15.59%    8  -16.13%  +15.38%
  002650       七维评分穿越   -0.78% -0.02  66.7%   -6.89%    3  +85.50%  -86.28%
  000828         趋势跟踪   -0.91% +0.02  50.0%  -13.09%    4   -5.15%   +4.24%
  600178       七维评分穿越   -1.07% -0.06  50.0%   -7.98%    2  -36.36%  +35.29%
  002247         趋势跟踪   -1.25% +0.02  42.9%  -23.57%    7  +11.76%  -13.01%
  600358         均线金叉   -1.27% -0.01  50.0%  -14.44%    4  +11.34%  -12.61%
  600783         趋势跟踪   -1.28% +0.05  42.9%  -18.19%    7  +79.98%  -81.26%
  002442       七维评分穿越   -1.34% -0.01  40.0%  -14.37%    5  -12.15%  +10.81%
  002299       七维评分穿越   -1.34% -0.03  25.0%   -9.52%    4   +2.20%   -3.54%
  300556         均线金叉   -1.66% -0.01  42.9%   -9.53%    7  -41.76%  +40.10%
  603516       七维评分穿越   -1.67% -0.61   0.0%   -1.71%    2 +386.85% -388.52%
  600256       七维评分穿越   -2.09% +0.09  38.5%  -40.27%   13   -9.71%   +7.62%
  300572         趋势跟踪   -2.13% +0.00  28.6%  -17.31%    7  +64.79%  -66.92%
  600513         均线金叉   -2.36% +0.01  16.7%  -15.91%    6  +58.21%  -60.57%
  300370         趋势跟踪   -2.44% -0.02  20.0%  -16.55%    5   -2.01%   -0.43%
  600662       七维评分穿越   -2.51% +0.00  36.4%  -24.05%   11   -6.12%   +3.61%
  002527       七维评分穿越   -2.53% -0.02  45.5%  -25.52%   11  +58.04%  -60.57%
  300320         趋势跟踪   -2.62% -0.04  25.0%  -17.03%    4  +14.98%  -17.60%
  688728         均线金叉   -2.75% -0.02  37.5%  -15.52%    8  -32.95%  +30.20%
  002702         均线金叉   -2.88% -0.16  16.7%  -10.94%    6   -9.80%   +6.92%
  600616         均线金叉   -2.88% -0.01  42.9%  -11.25%    7  -25.76%  +22.88%
  002413         趋势跟踪   -2.89% -0.04  28.6%  -23.65%    7  +94.16%  -97.05%
  603335         趋势跟踪   -3.06% -0.03  40.0%  -18.86%    5   +9.86%  -12.92%
  600493         均线金叉   -3.08% -0.09  20.0%  -15.95%    5   -3.43%   +0.35%
  000505         趋势跟踪   -3.11% -0.05  20.0%  -13.66%    5  -11.52%   +8.41%
  300271       七维评分穿越   -3.27% -0.02  33.3%  -26.26%   12  -27.88%  +24.61%
  001390         趋势跟踪   -3.51% -0.19   0.0%  -12.48%    1  -42.72%  +39.21%
  300840         均线金叉   -3.54% -0.06  42.9%  -19.85%    7  +20.02%  -23.56%
  688602         趋势跟踪   -3.62% -0.11  33.3%  -12.91%    3  -36.63%  +33.01%
  002443       七维评分穿越   -3.65% -0.40   0.0%   -5.55%    1  +67.78%  -71.43%
  300595         均线金叉   -3.73% -0.05  11.1%  -20.24%    9  -44.15%  +40.42%
  601718       七维评分穿越   -3.75% -0.06  71.4%  -11.37%    7  -26.49%  +22.74%
  600612         均线金叉   -3.76% -0.02  14.3%  -22.79%    7  -45.89%  +42.13%
  002683         均线金叉   -3.81% -0.22  25.0%   -7.38%    4  +58.65%  -62.46%
  002038       七维评分穿越   -3.87% +0.02  37.5%  -22.94%   16  -40.60%  +36.73%
  002443         趋势跟踪   -3.98% +0.00  40.0%  -20.38%    5  +67.78%  -71.76%
  600612         趋势跟踪   -4.07% -0.89   0.0%   -4.07%    1  -45.89%  +41.82%
  600638       七维评分穿越   -4.27% -0.25   0.0%  -10.92%    2  +12.48%  -16.75%
  600480         趋势跟踪   -4.38% -0.15  25.0%  -16.03%    4  +19.55%  -23.93%
  300155         趋势跟踪   -4.39% -0.13  40.0%  -11.81%    5  -16.13%  +11.74%
  300290       七维评分穿越   -4.39% -0.07  43.8%  -25.79%   16  +73.31%  -77.70%
  300532         均线金叉   -4.45% -0.29  50.0%  -10.02%    2  -56.49%  +52.04%
  300290         均线金叉   -4.46% -0.25  40.0%  -11.66%    5  +73.31%  -77.77%
  002655         趋势跟踪   -4.48% -0.04  25.0%  -23.27%    8 +179.89% -184.37%
  601177         趋势跟踪   -4.49% -0.20  33.3%  -13.03%    3  +68.88%  -73.37%
  603188         趋势跟踪   -4.66% -0.17  33.3%  -10.71%    3   +6.64%  -11.30%
  300840       七维评分穿越   -4.74% -0.06  27.3%  -19.77%   11  +20.02%  -24.76%
  300494       七维评分穿越   -4.83% +0.03  40.9%  -25.46%   22  -38.75%  +33.92%
  300278         均线金叉   -4.88% -0.09   0.0%  -15.33%    6  +18.79%  -23.67%
  000504         均线金叉   -4.95% -0.10  25.0%  -22.31%    8  -18.98%  +14.03%
  301601         趋势跟踪   -5.00% -0.71   0.0%   -5.00%    1  -58.80%  +53.80%
  688615       七维评分穿越   -5.04% -0.18  50.0%  -16.91%    4  +18.40%  -23.44%
  002009         均线金叉   -5.31% -0.10  20.0%  -19.91%   10  +50.02%  -55.33%
  002038         均线金叉   -5.33% -0.14  40.0%  -20.97%    5  -40.60%  +35.27%
  603280       七维评分穿越   -5.52% -0.04  36.4%  -27.55%   22   +8.17%  -13.69%
  002178         均线金叉   -5.58% -0.18  30.0%  -15.67%   10  +14.04%  -19.62%
  600561         趋势跟踪   -5.67% -0.17  33.3%  -17.51%    3   -3.65%   -2.02%
  002124         趋势跟踪   -5.71% -0.27   0.0%  -14.76%    2  -28.29%  +22.58%
  002175         均线金叉   -5.79% -0.15  14.3%  -17.87%    7   -2.87%   -2.92%
  688620         趋势跟踪   -5.93% -0.21  25.0%  -15.29%    4   +3.06%   -8.99%
  301299       七维评分穿越   -5.97% -0.38  33.3%  -16.24%    3   -7.48%   +1.51%
  600399         趋势跟踪   -6.02% -0.77   0.0%   -7.90%    1  -51.90%  +45.88%
  300891         趋势跟踪   -6.05% -0.14  20.0%  -19.00%    5  -25.90%  +19.85%
  600199         趋势跟踪   -6.11% -0.29   0.0%  -13.10%    2  -53.08%  +46.97%
  301255       七维评分穿越   -6.18% -0.07  50.0%  -20.72%   14  -38.30%  +32.12%
  688486         均线金叉   -6.29% -0.31  28.6%  -16.09%    7  -34.06%  +27.77%
  688210         均线金叉   -6.63% -0.18  22.2%  -16.99%    9  +78.39%  -85.02%
  688728         趋势跟踪   -6.63% -0.30   0.0%  -12.88%    2  -32.95%  +26.32%
  002124         均线金叉   -6.65% -0.11  37.5%  -32.82%    8  -28.29%  +21.64%
  603086         趋势跟踪   -6.82% -0.31  33.3%  -18.97%    3   +6.68%  -13.50%
  603058         趋势跟踪   -6.82% -0.10  16.7%  -21.41%    6   +8.28%  -15.10%
  688210       七维评分穿越   -6.87% -0.62  33.3%  -10.87%    3  +78.39%  -85.26%
  603309         趋势跟踪   -6.92% -0.20  20.0%  -17.87%    5  -11.62%   +4.70%
  002393         均线金叉   -7.01% -0.17  22.2%  -18.76%    9  -43.63%  +36.62%
  002116         均线金叉   -7.04% -0.58  33.3%   -9.92%    3  -11.59%   +4.55%
  001323         趋势跟踪   -7.11% -0.51   0.0%  -16.84%    3  -27.98%  +20.87%
  301113       七维评分穿越   -7.15% -0.03  37.5%  -21.47%   16  -41.10%  +33.95%
  002050       七维评分穿越   -7.17% -0.29  25.0%  -12.13%    8  +56.73%  -63.90%
  000718         均线金叉   -7.24% -0.27  20.0%  -19.18%    5  -20.07%  +12.83%
  600269         趋势跟踪   -7.29% -0.27  33.3%  -16.50%    3   +5.47%  -12.76%
  603363         趋势跟踪   -7.30% -0.39  33.3%  -12.03%    3  -45.70%  +38.40%
  000828         均线金叉   -7.31% -0.18  33.3%  -22.49%    6   -5.15%   -2.16%
  600420       七维评分穿越   -7.35% -0.20  33.3%  -20.73%    6   -5.00%   -2.35%
  001380         均线金叉   -7.54% -0.12  33.3%  -23.33%    6  -48.66%  +41.12%
  300783         均线金叉   -7.75% -0.21  40.0%  -24.22%    5   +3.25%  -11.00%
  603395         趋势跟踪   -7.84% -0.78   0.0%  -10.57%    1  -81.87%  +74.03%
  600178         趋势跟踪   -7.84% -0.28  40.0%  -17.97%    5  -36.36%  +28.52%
  300891       七维评分穿越   -8.30% -0.12  41.2%  -21.44%   17  -25.90%  +17.60%
  301060       七维评分穿越   -8.33% -0.08  42.1%  -31.55%   19  -25.16%  +16.83%
  002655         均线金叉   -8.37% -0.13  18.2%  -25.44%   11 +179.89% -188.26%
  301131         趋势跟踪   -8.39% -0.28  33.3%  -15.62%    3  -25.65%  +17.26%
  603323         均线金叉   -8.54% -0.27  50.0%  -17.44%    2  +14.99%  -23.53%
  300532         趋势跟踪   -8.57% -0.26  33.3%  -18.12%    3  -56.49%  +47.92%
  603662         均线金叉   -8.73% -0.30  16.7%  -16.65%    6  +71.22%  -79.95%
  601901         均线金叉   -8.77% -0.58   0.0%  -12.07%    4  -13.72%   +4.95%
  603395       七维评分穿越   -8.89% -0.18  30.0%  -26.34%   10  -81.87%  +72.98%
  000989       七维评分穿越   -9.17% -0.09  38.5%  -31.80%   13  -19.79%  +10.62%
  000633         均线金叉   -9.29% -0.42  20.0%  -11.71%    5  -19.46%  +10.17%
  002716         均线金叉   -9.34% -0.84   0.0%  -10.28%    4 +233.59% -242.93%
  688486         趋势跟踪   -9.40% -0.32  25.0%  -18.58%    8  -34.06%  +24.66%
  300840         趋势跟踪   -9.41% -0.52  20.0%  -19.16%    5  +20.02%  -29.43%
  001390       七维评分穿越   -9.52% -0.90  50.0%  -13.63%    2  -42.72%  +33.20%
  002889         均线金叉   -9.61% -0.42  14.3%  -11.19%    7  -52.21%  +42.60%
  002723         均线金叉   -9.66% -0.39  16.7%  -11.48%    6  -14.72%   +5.06%
  600057         均线金叉   -9.80% -0.24  11.1%  -25.64%    9   -3.40%   -6.40%
  601279       七维评分穿越   -9.81% -0.07  41.7%  -29.53%   24  -37.28%  +27.47%
  600793         均线金叉  -10.01% -0.88   0.0%  -11.07%    3  +22.85%  -32.86%
  688615         均线金叉  -10.08% -0.73  50.0%  -12.80%    2  +18.40%  -28.48%
  300164         趋势跟踪  -10.20% -0.47  20.0%  -16.65%    5 +109.30% -119.50%
  002442         趋势跟踪  -10.22% -0.26  28.6%  -25.92%    7  -12.15%   +1.93%
  603999         均线金叉  -10.26% -0.40  25.0%  -15.87%    4  -12.44%   +2.18%
  603105       七维评分穿越  -10.26% -0.28  25.0%  -23.79%    8  -21.32%  +11.06%
  300048         均线金叉  -10.32% -0.22  27.3%  -21.73%   11  +16.07%  -26.39%
  688562         趋势跟踪  -10.39% -0.33  20.0%  -24.95%    5  -26.77%  +16.38%
  600088         趋势跟踪  -10.39% -0.24   0.0%  -21.89%    3   +9.38%  -19.77%
  301097         趋势跟踪  -10.43% -0.37  28.6%  -22.21%    7   +0.65%  -11.08%
  301116         均线金叉  -10.45% -0.38  14.3%  -17.39%    7  -22.19%  +11.74%
  603309         均线金叉  -10.60% -0.30  33.3%  -19.12%    6  -11.62%   +1.02%
  600199         均线金叉  -10.88% -0.28  30.0%  -24.16%   10  -53.08%  +42.20%
  002178         趋势跟踪  -11.01% -1.11   0.0%  -12.26%    2  +14.04%  -25.05%
  603378       七维评分穿越  -11.09% -0.22  37.5%  -25.60%   16  -33.41%  +22.32%
  603239         均线金叉  -11.20% -0.36  25.0%  -21.58%    8  +29.24%  -40.44%
  688410         均线金叉  -11.20% -0.32  33.3%  -13.32%    6  -41.55%  +30.35%
  603363         均线金叉  -11.25% -0.33  25.0%  -24.36%    8  -45.70%  +34.45%
  000059         趋势跟踪  -11.32% -0.34  28.6%  -19.67%    7  -18.69%   +7.37%
  300842       七维评分穿越  -11.50% -0.47  33.3%  -14.24%    9  +16.41%  -27.91%
  002116       七维评分穿越  -11.71% -0.20  50.0%  -20.64%   12  -11.59%   -0.12%
  002124       七维评分穿越  -11.81% -0.13  31.2%  -30.05%   16  -28.29%  +16.48%
  301601       七维评分穿越  -12.05% -0.63  20.0%  -20.47%    5  -58.80%  +46.75%
  000017         均线金叉  -12.07% -0.26  16.7%  -19.66%   12  +25.65%  -37.72%
  000059       七维评分穿越  -12.10% -0.55  12.5%  -18.89%    8  -18.69%   +6.59%
  603027         趋势跟踪  -12.17% -0.48   0.0%  -15.62%    4  -49.60%  +37.43%
  300665         趋势跟踪  -12.45% -0.29  12.5%  -19.83%    8  +10.62%  -23.07%
  603323         趋势跟踪  -12.60% -0.86   0.0%  -18.26%    3  +14.99%  -27.59%
  688222         趋势跟踪  -12.63% -0.33  14.3%  -24.07%    7  +80.92%  -93.55%
  301060         趋势跟踪  -12.69% -0.79  25.0%  -15.69%    4  -25.16%  +12.47%
  688602       七维评分穿越  -12.81% -0.80   0.0%  -13.42%    2  -36.63%  +23.82%
  600128         均线金叉  -12.99% -0.59  16.7%  -24.05%    6   -3.47%   -9.52%
  600720         趋势跟踪  -13.01% -0.68   0.0%  -21.44%    3  -37.72%  +24.71%
  601933         均线金叉  -13.05% -0.43  20.0%  -19.45%    5  +30.53%  -43.58%
  300488         趋势跟踪  -13.11% -0.28  20.0%  -19.07%    5  +30.04%  -43.15%
  000017         趋势跟踪  -13.15% -0.38  16.7%  -28.06%    6  +25.65%  -38.80%
  000828       七维评分穿越  -13.54% -0.82  33.3%  -17.03%    3   -5.15%   -8.39%
  300271         均线金叉  -13.59% -0.75  14.3%  -13.84%    7  -27.88%  +14.29%
  688356         趋势跟踪  -13.93% -0.59  16.7%  -17.72%    6  -26.76%  +12.83%
  600782       七维评分穿越  -13.96% -0.61  25.0%  -20.64%    4  -18.18%   +4.22%
  301097         均线金叉  -13.96% -0.77  16.7%  -13.96%    6   +0.65%  -14.61%
  600088       七维评分穿越  -14.01% -0.27  28.6%  -21.90%   14   +9.38%  -23.39%
  001380         趋势跟踪  -14.25% -0.35  25.0%  -22.29%    4  -48.66%  +34.41%
  688592         趋势跟踪  -14.47% -0.37  14.3%  -23.64%    7  -26.98%  +12.51%
  300278         趋势跟踪  -14.50% -0.49  14.3%  -28.54%    7  +18.79%  -33.29%
  603378         均线金叉  -14.56% -1.59   0.0%  -14.56%    3  -33.41%  +18.85%
  301036       七维评分穿越  -14.71% -0.29  33.3%  -23.01%   15  +10.34%  -25.05%
  600129         趋势跟踪  -14.87% -0.59  14.3%  -22.95%    7  -66.52%  +51.65%
  000401       七维评分穿越  -15.25% -0.37  40.0%  -31.67%   10  -35.41%  +20.16%
  002439         趋势跟踪  -15.25% -0.85   0.0%  -19.95%    3  -44.66%  +29.41%
  000059         均线金叉  -15.27% -0.67  25.0%  -21.69%    8  -18.69%   +3.42%
  000989         趋势跟踪  -15.43% -0.43  14.3%  -19.75%    7  -19.79%   +4.36%
  603662       七维评分穿越  -15.88% -1.43   0.0%  -17.96%    4  +71.22%  -87.10%
  600616       七维评分穿越  -16.07% -0.31  33.3%  -29.50%   15  -25.76%   +9.69%
  300290         趋势跟踪  -16.55% -0.83   0.0%  -16.55%    5  +73.31%  -89.86%
  603238       七维评分穿越  -16.84% -0.53  33.3%  -23.10%   12   -3.99%  -12.85%
  601933       七维评分穿越  -16.87% -0.23  28.6%  -37.78%   21  +30.53%  -47.40%
  000544         趋势跟踪  -17.28% -0.45  20.0%  -29.91%    5  +14.14%  -31.42%
  002598       七维评分穿越  -17.29% -0.64  44.4%  -20.62%    9  -26.88%   +9.59%
  300595         趋势跟踪  -17.48% -1.58   0.0%  -18.01%    4  -44.15%  +26.67%
  300556       七维评分穿越  -17.53% -0.50  44.4%  -22.38%    9  -41.76%  +24.23%
  300271         趋势跟踪  -17.60% -0.86  16.7%  -25.77%    6  -27.88%  +10.28%
  600507         趋势跟踪  -17.91% -0.58   0.0%  -18.79%    5   +4.52%  -22.43%
  603383         趋势跟踪  -17.97% -1.07   0.0%  -19.19%    5  -33.72%  +15.75%
  301206         均线金叉  -17.97% -0.67  16.7%  -31.15%    6  -11.46%   -6.51%
  002116         趋势跟踪  -18.09% -0.80  20.0%  -19.89%    5  -11.59%   -6.50%
  600612       七维评分穿越  -18.26% -1.04  33.3%  -22.81%    6  -45.89%  +27.63%
  601901         趋势跟踪  -18.55% -0.84  16.7%  -23.45%    6  -13.72%   -4.83%
  600420         趋势跟踪  -18.57% -0.70  20.0%  -18.96%    5   -5.00%  -13.57%
  600178         均线金叉  -18.69% -0.80  25.0%  -24.32%    8  -36.36%  +17.67%
  301255         趋势跟踪  -19.06% -0.80   0.0%  -22.31%    4  -38.30%  +19.24%
  688210         趋势跟踪  -19.07% -0.68  10.0%  -19.24%   10  +78.39%  -97.46%
  000017       七维评分穿越  -19.15% -0.36  35.0%  -33.93%   20  +25.65%  -44.80%
  603027         均线金叉  -19.24% -0.67  11.1%  -24.30%    9  -49.60%  +30.36%
  301211         均线金叉  -19.38% -0.41  25.0%  -28.83%    8  -52.16%  +32.78%
  603378         趋势跟踪  -19.44% -1.48   0.0%  -20.64%    5  -33.41%  +13.97%
  002351         均线金叉  -19.64% -0.78   0.0%  -25.89%    8  -32.95%  +13.31%
  301113         趋势跟踪  -20.68% -0.91   0.0%  -23.85%    5  -41.10%  +20.42%
  300579         趋势跟踪  -20.72% -1.02   0.0%  -20.72%    5   -6.98%  -13.74%
  301601         均线金叉  -20.87% -1.91   0.0%  -20.87%    4  -58.80%  +37.93%
  603188         均线金叉  -20.88% -1.19  11.1%  -23.43%    9   +6.64%  -27.52%
  300320       七维评分穿越  -21.37% -0.73  33.3%  -26.66%   12  +14.98%  -36.35%
  603395         均线金叉  -21.38% -0.79   0.0%  -23.94%    5  -81.87%  +60.49%
  300254         趋势跟踪  -21.65% -0.72  16.7%  -23.01%    6   +8.40%  -30.05%
  600782         趋势跟踪  -21.68% -1.07   0.0%  -22.03%    5  -18.18%   -3.50%
  688581       七维评分穿越  -22.25% -0.40  45.5%  -37.58%   11  -53.94%  +31.69%
  003035         趋势跟踪  -23.07% -0.52  20.0%  -32.33%   10  +41.58%  -64.65%
  300360         趋势跟踪  -23.18% -0.73  20.0%  -24.09%    5   +9.07%  -32.25%
  600662         趋势跟踪  -23.57% -1.20  25.0%  -24.92%    4   -6.12%  -17.45%
  002567         趋势跟踪  -23.69% -1.15   0.0%  -27.81%    6  -50.83%  +27.14%
  601901       七维评分穿越  -24.01% -0.87  20.0%  -26.53%    5  -13.72%  -10.29%
  300048         趋势跟踪  -24.14% -0.56  16.7%  -27.85%    6  +16.07%  -40.21%
  000401         趋势跟踪  -24.52% -1.25   0.0%  -28.08%    4  -35.41%  +10.89%
  600252         趋势跟踪  -24.73% -0.87  16.7%  -25.51%    6   -9.48%  -15.25%
  603125         趋势跟踪  -24.87% -0.49  12.5%  -39.27%    8  -18.22%   -6.65%
  301037         趋势跟踪  -25.97% -1.23   0.0%  -28.95%    8  -23.09%   -2.88%
  002889       七维评分穿越  -25.99% -0.52  46.2%  -36.37%   13  -52.21%  +26.22%
  600128         趋势跟踪  -26.39% -0.85  12.5%  -35.01%    8   -3.47%  -22.92%
  002942         趋势跟踪  -26.54% -0.73  14.3%  -26.54%    7  -10.60%  -15.94%
  600199       七维评分穿越  -26.59% -0.66  20.0%  -35.15%   10  -53.08%  +26.49%
  002038         趋势跟踪  -26.90% -0.79  16.7%  -26.90%    6  -40.60%  +13.70%
  002479         趋势跟踪  -27.17% -0.73  12.5%  -40.38%    8   +9.02%  -36.19%
  600057         趋势跟踪  -29.20% -1.20   0.0%  -36.61%    6   -3.40%  -25.80%
  002351       七维评分穿越  -29.48% -0.59  29.4%  -38.03%   17  -32.95%   +3.47%
  688280         趋势跟踪  -29.73% -1.38   0.0%  -29.88%    6  -23.14%   -6.59%
  301211         趋势跟踪  -30.43% -0.78   0.0%  -33.44%    3  -52.16%  +21.73%
