批量回测 v2 结果
运行时间: 2026-06-20 17:55:59
股票数: 200 | 策略数: 3 | 总回测: 600
区间: 2024-01-01 ~ 2026-06-01

      代码           策略       收益     夏普     胜率       回撤   交易       基准       超额
  300155       七维评分穿越  +35.38% +0.71  52.4%  -16.95%   21  -16.13%  +51.51%
  601619         趋势跟踪  +35.21% +0.82  33.3%  -14.27%    6  +60.41%  -25.20%
  002663       七维评分穿越  +34.88% +0.79  53.3%  -18.34%   15   +7.10%  +27.78%
  600681       七维评分穿越  +34.86% +0.67  46.2%  -18.63%   13   -1.51%  +36.37%
  002723       七维评分穿越  +34.78% +0.68  42.3%  -14.99%   26  -14.72%  +49.50%
  000718         趋势跟踪  +34.59% +1.20 100.0%   -9.06%    2  -20.07%  +54.66%
  301255         均线金叉  +34.41% +0.89  57.1%  -13.57%    7  -38.30%  +72.71%
  002442         均线金叉  +34.40% +0.91  44.4%  -10.87%    9  -12.15%  +46.55%
  003037         趋势跟踪  +34.13% +1.41 100.0%   -4.74%    2  -33.79%  +67.92%
  605268         趋势跟踪  +34.12% +0.79  33.3%  -16.15%    6   +6.08%  +28.04%
  688592       七维评分穿越  +34.04% +1.32  75.0%   -5.34%    4  -26.98%  +61.02%
  300404       七维评分穿越  +33.65% +0.71  50.0%  -14.52%   16  +11.21%  +22.44%
  603363       七维评分穿越  +33.52% +0.73  50.0%  -18.37%   12  -45.70%  +79.22%
  600616         趋势跟踪  +33.22% +1.05  66.7%   -6.30%    3  -25.76%  +58.98%
  002413       七维评分穿越  +33.12% +1.09  66.7%   -7.01%   12  +94.16%  -61.04%
  002650         均线金叉  +33.05% +0.93  57.1%  -14.22%    7  +85.50%  -52.45%
  300405         均线金叉  +32.53% +0.90  50.0%  -11.07%   10   -3.36%  +35.89%
  600400         趋势跟踪  +32.15% +1.02  66.7%   -7.61%    3   +2.86%  +29.29%
  002201         趋势跟踪  +32.04% +0.86  60.0%  -11.55%    5  +51.43%  -19.39%
  301239         均线金叉  +31.64% +1.08  60.0%   -8.72%    5  -51.92%  +83.56%
  600231       七维评分穿越  +31.58% +0.67  53.8%  -18.09%   13   -6.41%  +37.99%
  605268       七维评分穿越  +31.22% +0.66  50.0%  -18.90%   18   +6.08%  +25.14%
  301388         均线金叉  +30.72% +0.85  50.0%  -12.83%    8  +18.64%  +12.08%
  002115         均线金叉  +30.67% +0.84  71.4%   -8.24%    7  +68.36%  -37.69%
  000544         均线金叉  +30.61% +0.94  66.7%   -7.67%    6  +14.14%  +16.47%
  688581         均线金叉  +30.45% +1.06  40.0%   -6.01%    5  -53.94%  +84.39%
  301388         趋势跟踪  +30.00% +0.78  42.9%  -13.00%    7  +18.64%  +11.36%
  603004         趋势跟踪  +29.76% +0.97  66.7%   -7.20%    3  -46.10%  +75.86%
  688356         均线金叉  +29.73% +0.83  50.0%   -9.32%    8  -26.76%  +56.49%
  001380       七维评分穿越  +29.46% +0.66  47.4%  -21.65%   19  -48.66%  +78.12%
  603188       七维评分穿越  +29.34% +0.61  45.0%  -16.45%   20   +6.64%  +22.70%
  301592       七维评分穿越  +29.13% +1.03  72.7%  -14.28%   11  -31.00%  +60.13%
  300632         均线金叉  +29.11% +0.86  57.1%   -8.43%    7 +111.94%  -82.83%
  002767         均线金叉  +28.88% +0.76  60.0%  -16.13%   10  +10.42%  +18.46%
  600662         均线金叉  +28.66% +0.67  30.0%  -22.91%   10   -6.12%  +34.78%
  002207         趋势跟踪  +28.57% +0.81  44.4%   -9.87%    9  +29.47%   -0.90%
  603533         均线金叉  +28.28% +0.90  71.4%   -8.63%    7  +33.10%   -4.82%
  300943       七维评分穿越  +28.16% +0.73  66.7%  -17.49%    9 +172.36% -144.20%
  603817         趋势跟踪  +27.97% +0.70  40.0%  -13.07%    5   -2.57%  +30.54%
  300131         趋势跟踪  +27.46% +0.74  50.0%  -10.95%    6 +175.81% -148.35%
  300164       七维评分穿越  +27.40% +0.64  50.0%  -14.42%   22 +109.30%  -81.90%
  300488         均线金叉  +27.26% +0.66  66.7%  -19.00%    9  +30.04%   -2.78%
  603838         趋势跟踪  +26.65% +0.78  60.0%  -15.24%    5  +26.60%   +0.05%
  300167       七维评分穿越  +26.57% +0.63  44.8%  -18.36%   29  +77.92%  -51.35%
  300595       七维评分穿越  +26.54% +0.72  50.0%  -15.85%    8  -44.15%  +70.69%
  600638         均线金叉  +26.52% +0.83  50.0%  -11.80%    8  +12.48%  +14.04%
  002598         均线金叉  +26.42% +0.85  42.9%   -8.00%    7  -26.88%  +53.30%
  300360         均线金叉  +26.38% +0.62  33.3%  -10.98%    6   +9.07%  +17.31%
  002919         趋势跟踪  +25.71% +0.78  50.0%  -17.92%    6  -16.43%  +42.14%
  601619         均线金叉  +25.51% +0.71  30.0%  -10.98%   10  +60.41%  -34.90%
  601718         趋势跟踪  +25.49% +0.62  33.3%  -12.48%    3  -26.49%  +51.98%
  002030         趋势跟踪  +25.20% +1.00 100.0%   -5.17%    2  -30.70%  +55.90%
  301507         均线金叉  +24.78% +0.80  40.0%   -8.55%    5  -19.92%  +44.70%
  300579         均线金叉  +24.71% +0.66  42.9%  -12.29%    7   -6.98%  +31.69%
  603139         均线金叉  +24.67% +0.91  60.0%  -11.06%    5  +98.90%  -74.23%
  002716         趋势跟踪  +24.40% +0.63  44.4%  -27.05%    9 +233.59% -209.19%
  600689         均线金叉  +24.32% +0.80  66.7%  -10.96%    6   +3.10%  +21.22%
  002527         趋势跟踪  +24.26% +0.91  50.0%  -10.15%    4  +58.04%  -33.78%
  603116       七维评分穿越  +24.22% +0.61  47.1%  -13.70%   17  +14.76%   +9.46%
  000537         趋势跟踪  +23.58% +0.65  16.7%  -16.57%    6  +11.73%  +11.85%
  300167         趋势跟踪  +23.43% +0.89  57.1%   -9.52%    7  +77.92%  -54.49%
  002676         均线金叉  +23.40% +0.82  50.0%  -13.83%    6  +15.47%   +7.93%
  605183         趋势跟踪  +23.33% +0.58  50.0%  -16.12%    6   +9.52%  +13.81%
  000989         均线金叉  +23.22% +0.65  50.0%  -18.28%    8  -19.79%  +43.01%
  001202         趋势跟踪  +22.75% +0.62  42.9%  -19.45%    7  -11.77%  +34.52%
  301131         均线金叉  +22.63% +0.71  60.0%   -8.64%    5  -25.65%  +48.28%
  600793         趋势跟踪  +22.43% +1.32 100.0%   -2.56%    2  +22.85%   -0.42%
  301211       七维评分穿越  +22.35% +0.54  47.1%  -21.16%   17  -52.16%  +74.51%
  002418       七维评分穿越  +22.34% +0.70  50.0%  -11.80%   14  +65.32%  -42.98%
  688011       七维评分穿越  +22.31% +0.71  58.3%  -15.72%   12 +131.69% -109.38%
  301282         趋势跟踪  +22.20% +0.64  44.4%  -14.54%    9  +12.64%   +9.56%
  600399         均线金叉  +21.87% +0.66  50.0%  -15.37%    8  -51.90%  +73.77%
  300385         趋势跟踪  +21.81% +0.65  50.0%  -14.00%    8 +111.02%  -89.21%
  300842         均线金叉  +21.65% +0.92  75.0%   -8.15%    4  +16.41%   +5.24%
  300370         均线金叉  +21.53% +0.69  36.4%  -11.64%   11   -2.01%  +23.54%
  002175         趋势跟踪  +21.32% +1.08  66.7%   -7.94%    3   -2.87%  +24.19%
  601700         均线金叉  +20.71% +0.65  75.0%  -10.96%    4   +6.90%  +13.81%
  601279         趋势跟踪  +19.93% +0.54  40.0%  -11.83%    5  -37.28%  +57.21%
  300360       七维评分穿越  +19.75% +0.61  70.0%  -15.04%   10   +9.07%  +10.68%
  301299         均线金叉  +19.69% +0.53  44.4%  -11.38%    9   -7.48%  +27.17%
  603309       七维评分穿越  +19.62% +0.45  38.5%  -17.94%   13  -11.62%  +31.24%
  301097       七维评分穿越  +19.44% +0.69  40.0%   -9.54%    5   +0.65%  +18.79%
  002439         均线金叉  +19.19% +0.76  50.0%   -9.94%    6  -44.66%  +63.85%
  688077         趋势跟踪  +18.99% +0.66  42.9%   -9.50%    7  +14.80%   +4.19%
  688592         均线金叉  +18.88% +0.57  44.4%  -10.05%    9  -26.98%  +45.86%
  002050         趋势跟踪  +18.40% +0.67  40.0%  -12.91%    5  +56.73%  -38.33%
  300320         均线金叉  +18.33% +0.63  66.7%  -19.48%    6  +14.98%   +3.35%
  601700       七维评分穿越  +18.30% +0.44  50.0%  -29.76%   16   +6.90%  +11.40%
  002527         均线金叉  +18.27% +0.68  60.0%  -12.30%    5  +58.04%  -39.77%
  688011         均线金叉  +18.24% +0.77  50.0%   -6.51%    4 +131.69% -113.45%
  002393       七维评分穿越  +17.98% +0.71  60.0%  -15.40%    5  -43.63%  +61.61%
  000718       七维评分穿越  +17.97% +0.43  35.7%  -25.74%   14  -20.07%  +38.04%
  300723         均线金叉  +17.82% +0.67  57.1%  -12.05%    7  +41.48%  -23.66%
  002439       七维评分穿越  +17.79% +0.85  75.0%   -5.71%    4  -44.66%  +62.45%
  688370         均线金叉  +17.69% +0.65  50.0%   -7.71%    4   -7.12%  +24.81%
  002919         均线金叉  +17.53% +0.95  66.7%   -4.37%    3  -16.43%  +33.96%
  688370         趋势跟踪  +17.36% +0.54  25.0%  -12.40%    4   -7.12%  +24.48%
  600783         均线金叉  +17.21% +0.52  37.5%  -12.86%    8  +79.98%  -62.77%
  603999         趋势跟踪  +16.97% +0.47  50.0%  -19.69%    6  -12.44%  +29.41%
  300131         均线金叉  +16.83% +0.57  55.6%  -11.23%    9 +175.81% -158.98%
  002178       七维评分穿越  +16.74% +0.39  42.9%  -26.23%   28  +14.04%   +2.70%
  603086       七维评分穿越  +16.50% +0.42  43.5%  -21.87%   23   +6.68%   +9.82%
  603335       七维评分穿越  +16.50% +0.59  50.0%  -11.39%   10   +9.86%   +6.64%
  300842         趋势跟踪  +16.35% +0.60  40.0%  -11.18%    5  +16.41%   -0.06%
  600231         均线金叉  +16.13% +0.49  50.0%   -8.59%   12   -6.41%  +22.54%
  301037       七维评分穿越  +15.85% +0.42  50.0%  -14.82%   18  -23.09%  +38.94%
  688512         均线金叉  +15.85% +0.58  50.0%  -12.65%    6  -28.09%  +43.94%
  605183         均线金叉  +15.80% +0.52  40.0%  -11.89%    5   +9.52%   +6.28%
  002942         均线金叉  +15.61% +0.52  57.1%  -16.63%    7  -10.60%  +26.21%
  300164         均线金叉  +15.59% +0.55  33.3%   -8.16%    6 +109.30%  -93.71%
  002030       七维评分穿越  +15.52% +0.39  47.1%  -16.33%   17  -30.70%  +46.22%
  301239       七维评分穿越  +15.50% +0.46  50.0%  -18.45%   10  -51.92%  +67.42%
