strategy,total_return,annual_return,sharpe,max_drawdown,win_rate,total_trades,calmar
v6 (纯信号),0.29,0.27,0.09,-28.88,21.2,30,0.01
v6+资金面(6:4),2.05,1.96,0.15,-28.88,21.5,30,0.07
v6+资金面(5:5),2.05,1.96,0.15,-28.88,21.5,30,0.07
v6+技术+资金(4:3:3),2.05,1.96,0.15,-28.88,21.5,30,0.07
