批量回测结果
运行时间: 2026-06-20 17:20:57
策略: 七维评分穿越 (score_cross)
区间: 2024-01-01 ~ 2026-06-01

      代码       收益     夏普     胜率       回撤   交易       基准       超额
  002012   -4.06% -0.15  50.0%  -11.99%    6  +33.81%  -37.87%
  600685   -4.60% -0.15  40.0%  -14.21%    5   +7.79%  -12.39%
  300610   -5.27% +0.05  50.0%  -27.43%   14   -1.91%   -3.36%
  688210   -6.87% -0.62  33.3%  -10.87%    3  +78.39%  -85.26%
  002037   -9.20% -0.17  40.0%  -27.74%   15  -11.70%   +2.50%
  301656  -10.97% -1.67  33.3%  -12.65%    3  -40.83%  +29.86%
  603959  -11.09% -0.50  33.3%  -18.06%    6  -48.61%  +37.52%
  000895  -13.87% -0.34  40.0%  -21.11%    5   -5.66%   -8.21%
  002003  -17.36% -0.44  28.6%  -24.23%    7  -14.17%   -3.19%
  300130  -21.37% -1.30   0.0%  -25.93%    5   +0.25%  -21.62%
  001219  -24.15% -0.33  36.4%  -31.03%   11  -39.04%  +14.89%

成功: 90 / 总尝试: 90
