date,equity
2025-01-02,1000000.0
2025-01-03,1000000.0
2025-01-06,1000000.0
2025-01-07,1000000.0
2025-01-08,1000000.0
2025-01-09,903642.0599999999
2025-01-10,901810.1599999999
2025-01-13,904531.84
2025-01-14,909582.6499999999
2025-01-15,907332.0299999999
2025-01-16,907855.4299999999
2025-01-17,910341.58
2025-01-20,910629.45
2025-01-21,907803.09
2025-01-22,909111.59
2025-01-23,908719.0399999999
2025-01-24,908902.23
2025-01-27,908849.8899999999
2025-02-05,910707.96
2025-02-06,908064.7899999999
2025-02-07,821973.1599999999
2025-02-10,829841.3599999999
2025-02-11,922910.1299999999
2025-02-12,927637.9299999999
2025-02-13,928144.48
2025-02-14,925611.73
2025-02-17,927300.23
2025-02-18,923585.5299999999
2025-02-19,1023038.1799999999
2025-02-20,1023038.1799999999
2025-02-21,1023038.1799999999
2025-02-24,1023038.1799999999
2025-02-25,1023038.1799999999
2025-02-26,919924.3399999999
2025-02-27,919653.7
2025-02-28,919383.0599999999
2025-03-03,918571.1399999999
2025-03-04,920465.6199999999
2025-03-05,923713.2999999999
2025-03-06,922360.0999999999
2025-03-07,921548.1799999999
2025-03-10,921818.82
2025-03-11,922630.7399999999
2025-03-12,922089.4599999998
2025-03-13,924254.58
2025-03-14,924795.8599999999
2025-03-17,925337.1399999999
2025-03-18,924525.2199999999
2025-03-19,926419.7
2025-03-20,925607.7799999999
2025-03-21,926149.0599999999
2025-03-24,926149.0599999999
2025-03-25,927231.6199999999
2025-03-26,926419.7
2025-03-27,925607.7799999999
2025-03-28,924795.8599999999
2025-03-31,925607.7799999999
2025-04-01,928314.1799999999
2025-04-02,835477.8599999999
2025-04-03,835825.6799999998
2025-04-07,907690.9699999999
2025-04-08,910126.7299999999
2025-04-09,299746.3099999999
2025-04-10,313816.8199999999
2025-04-11,322763.82999999996
2025-04-14,334938.54999999993
2025-04-15,331627.0499999999
2025-04-16,322940.92999999993
2025-04-17,318263.8599999999
2025-04-18,323238.94999999995
2025-04-21,332862.8999999999
2025-04-22,327381.0999999999
2025-04-23,340429.2599999999
2025-04-24,435853.9399999999
2025-04-25,428838.5799999999
2025-04-28,519652.2199999999
2025-04-29,702897.5299999999
2025-04-30,798602.2699999999
2025-05-06,803976.8999999999
2025-05-07,726374.9599999998
2025-05-08,833535.6899999998
2025-05-09,833855.6199999999
2025-05-12,836827.1499999999
2025-05-13,837059.1899999998
2025-05-14,837478.8599999999
2025-05-15,834195.4899999999
2025-05-16,924020.1499999999
2025-05-19,920898.5399999999
2025-05-20,922389.6499999999
2025-05-21,921845.4099999999
2025-05-22,920354.2999999999
2025-05-23,917642.7199999999
2025-05-26,917504.8099999999
2025-05-27,994713.1599999999
2025-05-28,994442.5199999999
2025-05-29,994442.5199999999
2025-05-30,994442.5199999999
2025-06-03,896562.5999999999
2025-06-04,645016.6499999999
2025-06-05,654071.6099999999
2025-06-06,466561.7499999999
2025-06-09,470903.72999999986
2025-06-10,465031.7999999999
2025-06-11,464020.7199999999
