date,equity
2025-01-02,1000000.0
2025-01-03,360445.65
2025-01-06,367883.48000000004
2025-01-07,355363.4
2025-01-08,460284.02
2025-01-09,419508.3400000001
2025-01-10,514171.81
2025-01-13,467379.77
2025-01-14,533476.15
2025-01-15,520668.0
2025-01-16,466965.76999999996
2025-01-17,466716.98
2025-01-20,519492.14999999997
2025-01-21,577825.67
2025-01-22,504907.16000000003
2025-01-23,452367.65
2025-01-24,459801.28
2025-01-27,503559.0
2025-02-05,646893.0099999999
2025-02-06,474086.97000000003
2025-02-07,483489.04
2025-02-10,490152.69
2025-02-11,561718.76
2025-02-12,526269.64
2025-02-13,726797.3699999999
2025-02-14,638977.75
2025-02-17,584634.7799999999
2025-02-18,554670.4700000001
2025-02-19,524118.01
2025-02-20,704616.4900000001
2025-02-21,647753.3000000002
2025-02-24,825284.9100000001
2025-02-25,661308.06
2025-02-26,614883.69
2025-02-27,689970.1900000001
2025-02-28,874929.1
2025-03-03,626512.3399999997
2025-03-04,446056.6899999997
2025-03-05,448536.7299999997
2025-03-06,471713.7199999997
2025-03-07,544613.3999999997
2025-03-10,494204.9799999997
2025-03-11,488340.76999999967
2025-03-12,487738.01999999967
2025-03-13,614940.3799999997
2025-03-14,501663.4199999996
2025-03-17,502902.4199999996
2025-03-18,505786.0399999996
2025-03-19,498372.72999999963
2025-03-20,498448.9599999996
2025-03-21,549113.9499999996
2025-03-24,529398.8699999995
2025-03-25,585226.9699999995
2025-03-26,648727.6999999995
2025-03-27,519650.2199999995
2025-03-28,578299.5599999995
2025-03-31,588871.2099999995
2025-04-01,520806.5599999995
2025-04-02,524803.8399999995
2025-04-03,565315.1199999995
2025-04-07,931374.4399999997
2025-04-08,693257.4599999997
2025-04-09,289362.4399999999
2025-04-10,314234.9899999999
2025-04-11,468672.1299999999
2025-04-14,388022.2499999999
2025-04-15,390665.3199999999
2025-04-16,545506.9499999998
2025-04-17,542309.1299999999
2025-04-18,485010.78999999986
2025-04-21,506374.03999999986
2025-04-22,621074.82
2025-04-23,563953.97
2025-04-24,495457.55999999994
2025-04-25,495870.0299999999
2025-04-28,558172.47
2025-04-29,511581.56999999995
2025-04-30,525256.3899999999
2025-05-06,602678.3699999999
2025-05-07,540330.2999999999
2025-05-08,593701.0799999998
2025-05-09,521985.9099999999
2025-05-12,531054.2299999999
2025-05-13,650347.99
2025-05-14,575118.6499999999
2025-05-15,672302.4299999998
2025-05-16,538475.8099999997
2025-05-19,593882.4599999997
2025-05-20,483990.85999999975
2025-05-21,597996.0199999998
2025-05-22,471910.70999999985
2025-05-23,460006.4999999998
2025-05-26,466443.90999999986
2025-05-27,457974.3699999999
2025-05-28,464301.63999999984
2025-05-29,469276.52999999985
2025-05-30,520923.69999999984
2025-06-03,465935.40999999986
2025-06-04,523830.1899999998
2025-06-05,693279.1999999998
2025-06-06,479429.2999999999
2025-06-09,487650.1799999999
2025-06-10,623290.0499999998
2025-06-11,559158.2499999998
2025-06-12,501529.0399999998
2025-06-13,495440.5499999998
2025-06-16,552009.2699999998
2025-06-17,594416.2399999999
2025-06-18,599540.0999999999
2025-06-19,649938.0599999998
2025-06-20,450570.19999999984
2025-06-23,516366.5499999998
2025-06-24,473403.39999999985
2025-06-25,467449.22999999986
2025-06-26,511301.00999999983
2025-06-27,462206.39999999985
2025-06-30,479721.9299999998
2025-07-01,556721.8199999998
2025-07-02,489783.8899999999
2025-07-03,491355.3999999999
2025-07-04,601395.9799999999
2025-07-07,555098.0099999999
2025-07-08,500133.5099999998
2025-07-09,502419.5899999998
2025-07-10,556977.8899999998
2025-07-11,507415.9299999998
2025-07-14,637624.5799999998
2025-07-15,632627.0399999999
2025-07-16,650952.0999999999
2025-07-17,675167.6799999998
2025-07-18,622517.7199999999
2025-07-21,629567.6099999999
2025-07-22,823369.6100000001
2025-07-23,586180.0900000001
2025-07-24,536525.78
2025-07-25,535157.8500000001
2025-07-28,674296.7600000001
2025-07-29,557996.2300000002
2025-07-30,615868.5200000003
2025-07-31,551731.8600000002
2025-08-01,698111.1300000001
2025-08-04,623989.0800000001
2025-08-05,629699.5200000001
2025-08-06,616291.0000000001
2025-08-07,688908.68
2025-08-08,605171.9400000001
2025-08-11,557093.03
2025-08-12,562736.74
2025-08-13,572175.91
2025-08-14,653017.56
2025-08-15,734647.36
2025-08-18,743969.48
2025-08-19,588050.7100000001
2025-08-20,582897.8000000002
2025-08-21,577526.6700000002
2025-08-22,581676.1200000001
2025-08-25,594597.6200000001
2025-08-26,586169.8900000001
2025-08-27,711399.3500000001
2025-08-28,803940.9000000001
2025-08-29,574653.7100000001
2025-09-01,648754.4100000001
2025-09-02,651367.5000000001
2025-09-03,731355.7400000001
2025-09-04,587529.7800000001
2025-09-05,775011.4600000002
2025-09-08,618072.1500000001
