code,market,name,date,deal_price,close_price,premium_pct,vol,amount,buyer,seller
sh688772,,珠海冠宇,2026-06-18,0,0,0,0,0,,
sh603014,,威高血净,2026-06-22,0,0,0,0,0,,
sz000725,,京东方Ａ,2026-06-22,0,0,0,0,0,,
sz301629,,矽电股份,2026-06-22,0,0,0,0,0,,
sz301458,,钧崴电子,2026-06-23,0,0,0,0,0,,
sz000333,,美的集团,2026-06-24,0,0,0,0,0,,
sz301348,,蓝箭电子,2026-06-24,0,0,0,0,0,,
600007,sh,中国国贸,2026-06-18,0,0,0,0,0,,
600010,sh,包钢股份,2026-06-18,0,0,0,0,0,,
600016,sh,民生银行,2026-06-18,0,0,0,0,0,,
600025,sh,华能水电,2026-06-18,0,0,0,0,0,,
600030,sh,中信证券,2026-06-18,0,0,0,0,0,,
600031,sh,三一重工,2026-06-18,0,0,0,0,0,,
600036,sh,招商银行,2026-06-18,0,0,0,0,0,,
600150,sh,中国船舶,2026-06-18,0,0,0,0,0,,
600148,sh,长春一东,2026-06-18,0,0,0,0,0,,
600161,sh,天坛生物,2026-06-18,0,0,0,0,0,,
600191,sh,华资实业,2026-06-18,0,0,0,0,0,,
600193,sh,退市创兴,2026-06-18,0,0,0,0,0,,
600221,sh,海航控股,2026-06-18,0,0,0,0,0,,
600219,sh,南山铝业,2026-06-18,0,0,0,0,0,,
600222,sh,太龙药业,2026-06-18,0,0,0,0,0,,
600284,sh,浦东建设,2026-06-18,0,0,0,0,0,,
600309,sh,万华化学,2026-06-18,0,0,0,0,0,,
600382,sh,广东明珠,2026-06-18,0,0,0,0,0,,
600370,sh,*ST三房,2026-06-18,0,0,0,0,0,,
600493,sh,凤竹纺织,2026-06-18,0,0,0,0,0,,
600500,sh,中化国际,2026-06-18,0,0,0,0,0,,
600519,sh,贵州茅台,2026-06-18,0,0,0,0,0,,
600522,sh,中天科技,2026-06-18,0,0,0,0,0,,
600601,sh,方正科技,2026-06-18,0,0,0,0,0,,
600617,sh,国新能源,2026-06-18,0,0,0,0,0,,
600636,sh,退市国化,2026-06-18,0,0,0,0,0,,
600817,sh,宇通重工,2026-06-18,0,0,0,0,0,,
600819,sh,耀皮玻璃,2026-06-18,0,0,0,0,0,,
600865,sh,百大集团,2026-06-18,0,0,0,0,0,,
600869,sh,远东股份,2026-06-18,0,0,0,0,0,,
600879,sh,航天电子,2026-06-18,0,0,0,0,0,,
600887,sh,伊利股份,2026-06-18,0,0,0,0,0,,
600885,sh,宏发股份,2026-06-18,0,0,0,0,0,,
600900,sh,长江电力,2026-06-18,0,0,0,0,0,,
600908,sh,无锡银行,2026-06-18,0,0,0,0,0,,
600918,sh,中泰证券,2026-06-18,0,0,0,0,0,,
600929,sh,雪天盐业,2026-06-18,0,0,0,0,0,,
