code,market,name,price,last_close,open,high,low,change_amt,change_pct,turnover_pct,pe_ttm,pb,mcap_yi,float_mcap_yi,limit_up,limit_down,vol_ratio,pe_static,amplitude_pct,amount_wan,update_time
000573,sz,粤宏远Ａ,4.11,4.08,4.11,4.13,4.00,0.03,0.74,2.93,-1024.67,1.63,26.23,,4.49,3.67,-4.42,4.13,26.01,38.23,2026-06-16T18:29:47.468885
000576,sz,甘化科工,7.30,7.22,7.24,7.34,7.15,0.08,1.11,1.50,45.25,1.93,31.86,,7.94,6.50,-27.15,7.34,31.67,42.05,2026-06-16T18:29:47.468885
000581,sz,威孚高科,17.92,18.21,18.21,18.21,17.82,-0.29,-1.59,1.02,15.92,0.86,173.25,,20.03,16.39,-24.00,18.21,142.27,16.22,2026-06-16T18:29:47.468885
000582,sz,北部湾港,11.71,11.66,11.66,11.92,11.50,0.05,0.43,1.85,27.52,1.46,294.75,,12.83,10.49,7.73,11.92,252.57,28.40,2026-06-16T18:29:47.468885
000586,sz,汇源通信,15.77,15.23,15.25,15.86,14.86,0.54,3.55,5.95,-305.83,9.58,30.51,,16.75,13.71,2.54,15.86,30.15,-1640.96,2026-06-16T18:29:47.468885
000589,sz,贵州轮胎,4.46,4.54,4.54,4.54,4.45,-0.08,-1.76,1.59,9.44,0.77,69.33,,4.99,4.09,-6.30,4.54,68.87,11.18,2026-06-16T18:29:47.468885
000590,sz,古汉医药,9.27,9.41,9.41,9.43,9.18,-0.14,-1.49,1.12,-54.05,4.10,22.20,,10.35,8.47,-25.48,9.43,22.19,-43.94,2026-06-16T18:29:47.468885
000591,sz,太阳能,5.10,5.16,5.16,5.21,5.09,-0.06,-1.16,1.83,27.77,0.83,199.15,,5.68,4.64,-15.28,5.21,199.07,24.21,2026-06-16T18:29:47.468885
000592,sz,平潭发展,7.67,7.61,7.62,7.73,7.45,0.06,0.79,4.55,-124.39,8.36,148.17,,8.37,6.85,-28.25,7.73,146.89,-131.15,2026-06-16T18:29:47.468885
000593,sz,德龙汇能,23.76,22.67,23.00,24.11,22.53,1.09,4.81,8.22,269.21,9.64,85.21,,24.94,20.40,62.41,24.11,85.18,419.00,2026-06-16T18:29:47.468885
000595,sz,*ST宝实,6.62,6.36,6.35,6.68,6.33,0.26,4.09,1.94,79.29,15.57,75.38,,6.68,6.04,2.48,6.68,75.38,90.47,2026-06-16T18:29:47.468885
000596,sz,古井贡酒,85.00,87.10,86.58,86.87,84.50,-2.10,-2.41,0.90,15.90,1.72,449.31,,95.81,78.39,-23.46,86.87,347.31,12.66,2026-06-16T18:29:47.468885
000597,sz,东北制药,4.45,4.61,4.60,4.60,4.43,-0.16,-3.47,0.88,25.36,1.14,63.50,,5.07,4.15,-16.51,4.60,62.71,24.42,2026-06-16T18:29:47.468885
000598,sz,兴蓉环境,6.92,6.99,6.95,7.00,6.90,-0.07,-1.00,0.64,10.20,1.02,206.49,,7.69,6.29,-1.70,7.00,206.16,10.30,2026-06-16T18:29:47.722653
000599,sz,青岛双星,4.76,4.86,4.81,4.82,4.73,-0.10,-2.06,1.36,-30.49,1.06,108.01,,5.35,4.37,-27.55,4.82,38.88,-30.03,2026-06-16T18:29:47.722653
000600,sz,建投能源,10.51,10.24,10.29,10.83,10.18,0.27,2.64,5.97,9.32,1.57,189.52,,11.26,9.22,8.80,10.83,114.56,10.09,2026-06-16T18:29:47.722653
000601,sz,韶能股份,7.04,7.05,7.01,7.21,6.97,-0.01,-0.14,6.02,75.26,1.81,74.93,,7.76,6.35,4.61,7.21,73.89,69.92,2026-06-16T18:29:47.722653
000603,sz,盛达资源,27.71,30.79,28.32,28.76,27.71,-3.08,-10.00,2.55,31.68,5.47,191.19,,33.87,27.71,-35.42,28.76,184.75,35.91,2026-06-16T18:29:47.722653
000605,sz,渤海股份,5.93,6.00,6.01,6.01,5.82,-0.07,-1.17,1.26,229.90,0.98,20.91,,6.60,5.40,-19.32,6.01,20.91,245.27,2026-06-16T18:29:47.722653
